id,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time
89,F,Ship,5,3,123,2,low,F,30,1068,1
90,F,Ship,5,5,136,3,low,M,4,4218,1
91,C,Ship,3,5,137,3,low,M,3,5497,1
92,F,Road,3,4,287,5,medium,F,9,5308,0
93,B,Ship,6,2,274,4,medium,M,8,1626,1
94,C,Ship,4,2,144,4,medium,F,2,4316,0
95,D,Ship,2,3,224,2,low,F,5,5050,0
96,B,Ship,4,1,216,2,low,F,5,5059,0
97,B,Ship,4,1,273,3,low,F,5,5323,0
98,F,Road,4,2,133,3,medium,F,5,5950,0
99,C,Ship,2,5,286,6,medium,F,5,5490,0
100,F,Ship,3,4,181,4,medium,F,3,5163,1
101,B,Ship,4,4,154,3,low,M,4,5393,1
102,A,Ship,3,1,194,3,low,F,1,5566,0
103,F,Ship,4,3,263,3,low,F,3,5253,0
104,C,Ship,4,3,264,5,medium,M,3,1639,0
105,B,Road,4,2,185,4,medium,F,36,2583,1
106,A,Ship,4,2,239,4,low,F,10,5528,1
107,A,Ship,4,1,259,3,low,M,9,5148,1
108,F,Road,4,4,238,2,low,F,4,4337,1
109,A,Ship,3,4,234,2,medium,M,46,3108,1
110,F,Ship,5,2,176,4,low,M,10,5532,0
111,B,Ship,4,4,240,3,low,F,62,3478,1
112,F,Road,5,2,274,2,low,F,5,4154,0
113,B,Road,3,2,140,2,high,F,7,1401,1
114,A,Flight,3,1,166,5,low,F,8,4759,1
115,D,Ship,4,3,261,3,low,M,42,2664,1
116,D,Flight,3,4,156,3,medium,M,7,4636,0
117,C,Ship,4,3,269,3,low,F,7,2538,1
118,B,Ship,3,4,256,4,low,M,11,3030,1
119,D,Ship,3,5,159,3,medium,M,9,4555,0
120,F,Road,3,4,233,3,medium,F,10,4626,0
121,F,Ship,6,3,259,4,high,F,7,1208,0
122,D,Flight,5,3,171,3,medium,M,62,1304,1
123,A,Ship,3,3,195,3,low,M,1,4224,0
124,C,Flight,7,1,255,4,medium,F,3,1450,0
125,B,Flight,3,5,202,4,medium,F,7,4458,0
126,B,Ship,3,1,146,4,low,F,10,4583,0
127,B,Ship,3,5,190,3,low,M,9,4468,0
128,A,Ship,5,2,238,5,low,F,4,1962,0
129,A,Ship,6,2,282,4,medium,M,8,1553,0
130,F,Ship,3,2,203,2,medium,F,39,3845,1
131,B,Road,5,3,241,2,medium,M,5,5666,0
132,F,Ship,5,5,227,4,low,M,53,2624,1
133,F,Road,6,4,287,4,medium,F,10,1811,1
134,B,Ship,4,2,197,2,medium,M,3,4715,1
135,D,Ship,3,4,236,3,medium,M,1,5851,0
136,A,Road,5,2,272,5,low,M,8,1317,0
137,C,Road,4,4,141,3,low,M,10,4289,0
138,A,Ship,2,2,180,3,low,M,33,1217,1
139,F,Ship,5,1,208,2,low,F,8,5218,0
140,B,Ship,6,1,185,4,high,F,10,5254,1
141,A,Road,4,3,270,2,low,M,7,5814,0
142,D,Ship,5,2,180,3,medium,M,1,4655,1
143,A,Road,4,1,192,4,low,M,3,1689,0
144,C,Ship,4,5,180,2,medium,F,1,4332,0
145,A,Ship,6,4,217,5,low,F,7,3725,1
146,F,Flight,5,1,162,3,medium,F,1,5537,0
147,B,Ship,3,4,210,3,low,M,10,4398,1
148,C,Ship,7,3,305,4,medium,F,6,1167,0
149,F,Flight,5,2,102,5,medium,F,3,4784,0
150,C,Ship,3,4,267,2,low,M,9,5940,0
151,F,Flight,5,3,218,6,low,F,6,1519,1
152,F,Flight,3,5,242,2,low,M,1,5803,1
153,F,Ship,4,2,233,2,low,F,5,4817,0
154,B,Road,4,2,229,6,medium,F,5,1689,0
155,D,Road,6,4,244,4,medium,M,7,1795,0
156,F,Ship,4,2,230,3,high,F,5,5888,0
157,C,Ship,3,5,144,2,medium,M,6,5983,0
158,A,Ship,4,2,156,4,medium,F,2,5795,1
159,C,Ship,4,1,165,2,medium,F,5,5014,1
160,F,Ship,3,4,258,3,low,F,55,2777,1
161,F,Ship,6,4,137,8,low,F,9,4374,1
162,D,Flight,6,1,231,4,medium,F,23,2455,1
163,D,Flight,3,4,167,3,medium,M,52,1755,1
164,F,Flight,3,4,243,3,medium,M,6,4950,0
165,F,Ship,5,3,255,4,low,F,5,5870,0
166,F,Ship,4,1,282,4,medium,M,10,5065,0
167,F,Flight,5,3,218,5,low,F,6,1278,1
168,B,Ship,3,4,226,3,medium,F,26,2299,1
169,F,Ship,6,2,269,4,medium,F,10,1166,0
170,F,Ship,4,2,239,3,low,F,4,5916,0
171,F,Flight,7,4,264,4,medium,M,6,1265,0
172,B,Ship,5,4,244,6,high,F,3,4089,0
173,D,Ship,5,1,181,4,medium,F,4,5505,0
174,F,Ship,4,2,201,3,medium,F,6,5616,1
175,D,Flight,5,5,147,2,medium,M,19,1936,1
176,D,Ship,3,1,183,4,low,M,5,5326,0
177,A,Ship,4,4,243,3,low,M,10,3327,1
178,D,Road,4,5,139,3,low,M,5,5335,0
179,C,Road,5,4,229,5,low,F,3,1861,1
180,A,Ship,3,2,255,2,low,M,18,3732,1
181,D,Ship,3,1,152,2,medium,F,2,4136,0
182,F,Road,6,5,246,4,medium,M,2,1581,0
183,B,Ship,4,5,218,6,low,M,5,4364,1
184,D,Road,4,3,257,10,medium,F,3,5881,1
185,C,Ship,4,2,166,3,medium,F,8,4758,0
186,B,Flight,5,4,147,6,medium,F,21,1145,1
187,F,Ship,4,1,161,3,low,M,59,1454,1
188,F,Road,5,2,239,3,low,F,47,3673,1
189,F,Flight,4,2,135,2,low,M,54,1011,1
190,B,Ship,4,1,216,4,low,M,4,2263,1
191,B,Ship,5,3,223,2,medium,F,9,5735,0
192,F,Flight,3,3,182,10,low,M,3,5555,0
193,C,Ship,3,5,188,4,medium,M,3,4033,0
194,A,Ship,5,3,199,10,medium,F,1,5865,0
195,A,Ship,3,4,265,8,low,M,2,3622,1
196,C,Ship,6,1,236,4,low,F,10,2030,1
197,B,Ship,3,5,152,2,medium,F,6,1800,1
198,F,Ship,4,3,184,7,medium,M,5,5920,1
199,D,Ship,5,2,260,5,low,M,9,1809,1
200,A,Road,4,1,166,2,low,F,6,5737,0
201,B,Ship,2,4,111,2,high,M,60,1787,1
202,F,Flight,4,1,259,7,medium,F,4,5102,0
203,F,Ship,5,5,239,6,low,M,9,1417,1
204,B,Ship,4,4,260,2,low,M,17,3068,1
205,B,Flight,5,5,216,6,low,M,54,2075,1
206,F,Ship,3,4,261,2,low,F,1,5844,0
207,D,Ship,4,1,230,3,medium,M,40,2225,1
208,F,Ship,7,4,295,4,low,M,5,1239,0
209,F,Ship,3,3,239,3,low,M,8,5366,1
210,C,Ship,3,3,157,4,low,F,2,5715,1
211,F,Ship,3,5,115,2,low,M,10,4200,0
212,B,Ship,5,2,214,6,low,F,3,3234,1
213,F,Ship,3,5,221,3,medium,M,7,4741,1
214,F,Flight,3,1,159,2,medium,F,3,5691,0
215,F,Ship,4,3,206,3,medium,F,20,2247,1
216,C,Flight,5,2,116,5,high,F,56,1130,1
217,D,Ship,6,4,237,5,medium,F,2,5437,1
218,D,Ship,3,4,265,8,low,F,35,3299,1
219,F,Ship,3,1,185,2,medium,M,8,5430,1
220,C,Ship,3,3,167,2,low,M,6,5101,0
221,A,Ship,3,2,148,2,low,F,1,4133,1
222,F,Ship,4,5,171,6,medium,F,27,1840,1
223,D,Ship,3,2,206,2,medium,F,28,2822,1
224,B,Ship,3,5,155,4,low,M,6,5386,0
225,A,Ship,4,4,263,4,medium,M,7,4041,1
226,A,Flight,3,1,166,2,low,F,7,4375,0
227,F,Ship,3,3,204,2,medium,F,5,5399,0
228,F,Ship,5,1,206,5,medium,M,2,5766,0
229,F,Road,6,4,260,4,low,F,1,1883,0
230,A,Ship,4,5,252,4,low,F,6,4983,0
231,F,Flight,4,4,199,4,high,M,1,4163,1
232,D,Ship,4,3,209,5,medium,M,6,4384,0
233,F,Ship,6,5,301,4,low,F,7,1393,1
234,F,Flight,5,5,173,2,low,M,7,4716,0
235,B,Flight,4,3,226,3,medium,M,10,5305,0
236,B,Road,5,3,239,5,medium,F,19,2988,1
237,B,Ship,6,5,282,4,low,M,1,1193,1
238,B,Ship,5,5,158,2,low,M,8,4743,0
239,F,Ship,3,4,133,3,low,M,17,1187,1
240,B,Ship,5,5,184,3,medium,M,7,4742,0
241,F,Ship,4,3,130,3,medium,F,3,4317,0
242,F,Ship,3,5,264,4,medium,F,8,4324,0
243,F,Ship,5,1,244,2,low,F,5,4125,1
244,F,Ship,4,4,253,2,medium,F,5,5624,0
245,D,Ship,4,2,184,3,low,M,10,4931,0
246,D,Ship,2,4,271,8,medium,F,10,4183,0
247,A,Ship,4,3,245,5,low,M,7,1182,0
248,F,Ship,3,5,150,3,medium,F,4,4442,1
249,D,Ship,5,4,157,4,low,M,9,4840,0
250,A,Flight,4,2,166,3,low,M,5,1610,1
251,F,Flight,3,2,270,4,high,M,29,3768,1
252,D,Ship,4,1,133,4,medium,M,64,1834,1
253,F,Road,6,1,277,5,low,F,2,1190,1
254,F,Road,4,1,154,10,high,M,10,5674,1
255,F,Flight,3,2,152,6,low,F,7,1674,1
256,B,Ship,4,3,252,4,low,M,2,5226,0
257,A,Ship,4,3,221,2,low,F,6,4114,1
258,F,Ship,2,1,271,8,medium,F,5,4924,0
259,C,Ship,4,3,216,4,medium,M,3,4750,0
260,C,Ship,4,1,162,3,medium,M,6,4343,1
261,F,Road,4,1,140,3,medium,M,9,1431,1
262,C,Ship,3,4,250,2,medium,M,1,4922,1
263,C,Flight,3,1,200,2,medium,M,10,5178,1
264,F,Ship,3,3,179,3,medium,F,12,1125,1
265,F,Ship,6,2,300,5,low,M,3,1696,0
266,D,Ship,5,4,187,3,low,F,1,4181,0
267,F,Ship,6,3,244,4,medium,M,5,1108,1
268,F,Ship,5,2,243,2,medium,F,4,3681,1
269,C,Flight,6,2,271,4,medium,M,3,1636,0
270,A,Ship,3,1,192,3,medium,M,4,4997,1
271,F,Flight,3,4,164,10,medium,F,10,4134,0
272,F,Road,6,5,285,4,low,M,8,1028,1
273,D,Ship,6,4,253,4,medium,M,9,1488,0
274,F,Ship,3,1,228,2,low,F,5,4456,1
275,F,Road,4,5,246,3,low,M,10,4616,1
276,C,Ship,3,4,252,2,high,M,9,4278,0
277,B,Road,5,4,208,8,medium,F,4,5155,1
278,B,Ship,4,3,192,3,low,M,1,4045,1
279,F,Ship,4,4,250,3,low,M,10,4505,0
280,F,Ship,5,5,140,8,medium,M,2,4793,1
281,D,Ship,4,5,244,3,low,M,6,1360,1
282,F,Flight,5,4,233,3,low,M,6,4275,1
283,B,Road,7,1,309,4,low,F,4,1151,0
284,A,Ship,5,5,237,5,low,F,1,1526,0
285,B,Flight,6,5,277,4,medium,F,5,1845,1
286,F,Flight,4,1,173,3,high,M,1,5749,0
287,F,Flight,5,3,165,2,medium,M,51,1429,1
288,F,Road,4,5,159,2,low,F,3,5704,0
289,A,Road,7,1,264,4,medium,F,2,1540,0
290,B,Ship,2,1,229,3,medium,M,9,5075,0
291,B,Ship,4,2,259,4,low,F,13,2495,1
292,C,Flight,2,1,173,2,high,M,1,4135,1
293,D,Ship,3,1,264,4,low,M,10,4265,0
294,D,Flight,5,4,307,5,low,M,8,1903,0
295,B,Road,3,5,264,6,low,M,30,2751,1
296,F,Road,3,2,140,3,low,F,42,1465,1
297,B,Road,3,4,200,3,medium,F,49,2942,1
298,B,Ship,6,2,236,4,low,F,61,3140,1
299,C,Road,6,3,310,4,low,F,2,1189,0
300,B,Ship,4,1,253,4,low,F,1,5621,0
301,D,Ship,3,5,228,4,low,F,7,4068,1
302,B,Ship,3,1,112,2,high,M,22,1846,1
303,A,Flight,2,2,242,6,low,F,63,3144,1
304,F,Ship,6,2,293,6,low,F,10,1919,1
305,F,Ship,5,2,145,5,medium,F,22,1818,1
306,C,Flight,3,1,121,5,low,F,60,1577,1
307,A,Flight,5,3,199,4,low,F,24,3473,1
308,F,Ship,3,3,202,2,medium,F,1,5220,1
309,B,Ship,5,2,231,5,low,F,4,1913,1
310,F,Road,6,5,281,4,medium,M,5,1484,0
311,B,Road,4,4,97,6,low,M,4,5801,0
312,B,Ship,5,3,245,4,low,M,1,5743,0
313,C,Ship,3,5,150,2,medium,M,10,5944,0
314,D,Road,6,5,245,4,low,M,3,1716,0
315,F,Ship,6,4,264,4,low,M,1,1711,1
316,D,Ship,3,3,211,4,high,F,22,2942,1
317,F,Ship,5,3,202,2,low,F,6,5716,0
318,C,Road,6,5,282,4,low,M,4,1035,0
319,A,Flight,3,4,255,4,low,M,10,4107,0
320,B,Flight,5,3,267,4,medium,F,1,4837,1
321,B,Ship,3,3,219,3,high,M,5,4321,0
322,F,Ship,4,5,263,2,medium,M,13,2779,1
323,C,Ship,4,4,186,3,low,F,8,4969,1
324,F,Road,5,4,251,2,low,F,3,5347,1
325,A,Ship,6,5,269,4,low,M,5,1264,1
326,F,Road,4,5,246,2,medium,M,31,2415,1
327,F,Road,4,2,181,3,low,M,10,4212,1
328,F,Road,3,5,139,3,low,F,1,4060,1
329,F,Ship,4,2,215,3,medium,F,48,2953,1
330,F,Ship,3,4,274,3,medium,M,19,3076,1
331,F,Ship,5,4,269,3,low,F,3,4489,0
332,F,Flight,4,4,265,2,medium,F,9,4106,0
333,A,Ship,3,1,165,3,low,F,1,1417,1
334,F,Flight,4,1,181,2,low,M,2,4154,0
335,A,Road,5,4,171,4,low,M,7,5359,1
336,A,Ship,6,1,265,4,low,F,1,1345,1
337,B,Ship,6,5,251,4,low,F,8,1038,0
338,D,Road,5,3,217,3,low,M,6,4934,1
339,A,Road,7,1,275,4,medium,M,7,1754,0
340,D,Ship,7,5,255,4,low,F,9,1367,0
341,F,Ship,4,4,177,2,low,F,6,5116,0
342,B,Ship,4,4,263,2,medium,F,41,3955,1
343,C,Ship,3,1,212,6,low,M,5,5339,0
344,C,Ship,3,3,149,2,low,M,8,4556,0
345,F,Road,4,2,189,10,medium,F,5,5470,0
346,F,Flight,6,2,243,4,low,M,4,1768,0
347,F,Road,2,2,270,4,low,M,6,5585,0
348,D,Road,3,5,253,2,medium,M,7,5846,0
349,D,Ship,3,4,192,2,low,F,56,3765,1
350,A,Flight,3,2,141,3,low,M,7,1933,1
351,A,Ship,3,1,205,2,medium,F,2,5322,0
352,B,Ship,3,5,134,3,medium,M,38,1169,1
353,F,Road,6,1,247,3,low,M,1,4637,1
354,C,Road,4,3,153,4,low,M,4,5161,0
355,B,Road,3,1,229,3,medium,M,2,3963,1
356,A,Ship,6,2,247,4,medium,M,8,1941,0
357,A,Ship,6,2,309,4,medium,F,8,1289,1
358,D,Ship,3,4,197,3,medium,F,56,3427,1
359,D,Ship,3,2,254,2,medium,F,2,3239,1
360,F,Ship,2,3,266,2,low,M,1,5356,0
361,A,Ship,5,2,184,3,low,F,4,4552,0
362,F,Ship,4,2,217,5,medium,M,10,1744,0
363,F,Ship,4,4,240,2,medium,F,4,5101,0
364,F,Road,4,3,143,3,low,F,2,4693,0
365,D,Ship,3,3,158,3,low,F,20,1431,1
366,B,Ship,5,2,225,5,low,M,5,1015,0
367,D,Ship,4,4,228,4,high,M,1,5573,0
368,A,Flight,5,1,267,5,low,F,4,1097,0
369,A,Flight,5,4,250,4,medium,M,4,4531,0
370,A,Ship,3,5,206,3,medium,M,21,3746,1
371,C,Ship,5,5,137,2,low,M,8,5111,1
372,F,Ship,3,4,211,3,high,M,8,5191,1
373,F,Ship,3,2,153,10,high,F,7,5305,0
374,D,Flight,3,4,209,3,high,F,37,3650,1
375,C,Ship,5,4,221,6,medium,M,6,1488,1
376,B,Flight,6,3,154,2,high,M,7,4732,0
377,F,Flight,3,5,240,6,low,M,21,3559,1
378,B,Ship,2,4,225,10,high,M,56,3384,1
379,A,Flight,6,1,274,5,low,F,8,4292,1
380,D,Ship,3,5,274,3,medium,M,5,4710,1
381,F,Road,3,2,134,2,medium,F,45,1946,1
382,B,Ship,4,5,193,4,low,M,33,2173,1
383,A,Ship,6,2,269,4,medium,F,3,1665,0
384,F,Ship,4,5,202,2,medium,M,35,3695,1
385,C,Flight,2,3,280,4,low,M,17,3555,1
386,F,Ship,5,1,134,2,low,F,7,5610,0
387,F,Flight,3,1,236,2,medium,F,8,5591,0
388,D,Ship,5,4,134,2,medium,F,55,1386,1
389,F,Road,5,1,265,4,low,F,2,5416,1
390,C,Ship,6,3,282,4,medium,F,8,1375,0
391,C,Ship,4,3,279,6,medium,M,2,5405,0
392,F,Ship,6,3,167,6,low,F,15,1278,1
393,F,Flight,4,2,192,4,low,F,61,2256,1
394,F,Ship,4,2,222,3,high,F,9,5337,0
395,F,Ship,3,2,177,2,high,M,9,4648,0
396,F,Ship,6,4,283,4,low,F,10,1512,0
397,D,Flight,5,2,217,3,low,M,27,2999,1
398,B,Road,4,4,218,2,medium,F,3,5692,1
399,F,Flight,3,5,166,2,low,M,45,1665,1
400,C,Ship,4,5,264,3,medium,M,16,2245,1
401,C,Flight,4,1,234,2,medium,F,4,5164,0
402,A,Ship,4,4,134,5,medium,M,2,5865,1
403,F,Flight,2,3,134,3,low,M,4,5958,0
404,F,Ship,4,3,131,5,low,M,6,1659,1
405,C,Ship,4,1,272,5,medium,F,1,1149,0
406,F,Ship,4,3,249,3,medium,F,6,5657,1
407,F,Ship,4,4,168,3,medium,M,53,1782,1
408,C,Flight,5,4,217,2,low,M,2,5469,1
409,C,Road,3,5,241,3,low,F,21,3078,1
410,F,Ship,2,1,111,2,low,F,1,4296,1
411,A,Ship,5,1,215,4,low,F,56,3905,1
412,D,Ship,3,2,207,3,high,F,3,4909,1
413,D,Road,5,3,136,3,medium,F,13,1446,1
414,D,Road,4,1,150,2,low,M,5,4140,0
415,F,Ship,5,2,160,3,medium,M,44,1054,1
416,F,Ship,3,4,217,3,low,F,5,4883,1
417,A,Flight,3,5,251,3,high,F,4,4156,1
418,F,Ship,4,5,259,2,medium,F,4,4092,1
419,D,Ship,5,3,169,3,low,F,9,4289,1
420,B,Flight,3,5,268,3,low,M,7,4910,0
421,A,Ship,3,5,161,3,low,F,10,5663,1
422,F,Ship,2,4,208,3,medium,F,6,4226,1
423,D,Ship,3,2,234,4,high,F,7,4568,1
424,D,Flight,4,5,243,2,low,M,23,2686,1
425,A,Ship,4,5,251,2,medium,F,8,5232,0
426,F,Ship,4,1,133,2,medium,M,8,4277,0
427,F,Ship,3,1,150,2,low,F,6,5697,0
428,F,Flight,2,4,233,4,medium,F,4,5408,0
429,F,Ship,3,5,193,3,medium,F,9,4982,0
430,F,Ship,3,5,154,2,medium,M,6,4744,0
431,A,Ship,4,1,173,2,low,M,5,4688,0
432,F,Ship,4,4,182,3,medium,F,8,5453,1
433,B,Ship,5,3,242,4,medium,F,8,4410,1
434,B,Ship,5,5,257,5,low,M,5,1657,0
435,C,Flight,4,4,260,3,low,M,9,4224,0
436,B,Ship,4,4,260,2,low,M,3,5801,0
437,F,Flight,3,5,218,4,medium,M,60,3048,1
438,F,Ship,3,3,101,2,medium,M,9,4860,0
439,A,Ship,4,2,224,3,low,F,3,5967,0
440,F,Ship,4,4,181,4,low,M,4,5767,0
441,D,Ship,5,2,224,5,low,F,2,1022,0
442,D,Ship,3,1,172,10,high,F,30,1294,1
443,C,Ship,6,3,266,4,medium,M,8,1983,1
444,F,Ship,2,2,158,3,low,M,28,1968,1
445,F,Ship,4,3,160,2,medium,F,38,1961,1
446,F,Flight,3,3,179,2,low,F,62,1765,1
447,B,Ship,4,3,162,3,low,M,4,5913,1
448,C,Ship,3,3,164,3,high,M,8,5170,0
449,C,Ship,5,2,203,2,medium,F,2,4712,1
450,B,Flight,3,5,245,6,high,M,9,4793,0
451,C,Ship,5,2,237,5,medium,M,6,1084,0
452,F,Ship,3,4,232,2,low,M,10,5678,0
453,D,Ship,3,3,197,2,medium,M,10,5255,0
454,B,Ship,5,2,259,2,medium,M,1,4607,0
455,B,Ship,3,5,153,2,low,F,44,1585,1
456,C,Ship,5,1,189,3,medium,M,13,3492,1
457,A,Ship,4,4,255,3,medium,F,60,2777,1
458,B,Flight,4,1,173,5,low,F,5,5049,1
459,D,Road,3,1,101,2,medium,F,1,5560,0
460,F,Road,4,5,216,3,medium,F,7,5891,0
461,C,Road,4,5,242,2,medium,F,5,4806,0
462,F,Flight,4,1,102,3,medium,M,3,4179,0
463,F,Ship,5,1,114,4,low,F,47,1443,1
464,A,Ship,3,5,261,3,medium,M,15,2989,1
465,F,Ship,4,3,242,2,low,M,9,4876,0
466,F,Ship,5,2,233,3,low,F,5,5756,1
467,F,Ship,5,1,235,3,low,F,7,5061,0
468,F,Ship,3,2,270,2,medium,F,59,3706,1
469,A,Ship,4,5,234,5,low,F,3,1469,1
470,C,Road,4,5,206,3,medium,M,5,5785,1
471,A,Ship,4,1,251,2,low,F,2,4839,1
472,D,Ship,2,2,219,3,low,F,56,3608,1
473,C,Ship,6,1,264,4,medium,M,1,1273,0
474,F,Flight,3,2,169,2,medium,F,19,1922,1
475,A,Ship,3,1,238,3,medium,F,5,4399,1
476,C,Flight,5,1,265,3,medium,M,6,2452,1
477,F,Ship,4,3,142,3,medium,M,1,4900,0
478,F,Ship,4,5,184,3,low,M,5,4039,1
479,F,Ship,5,3,242,5,low,F,9,1716,0
480,B,Ship,6,4,292,4,medium,F,7,1094,1
481,A,Ship,4,5,195,2,low,M,2,4008,1
482,C,Ship,4,1,205,3,low,F,10,4923,0
483,F,Ship,4,5,217,3,low,F,3,5380,1
484,A,Flight,4,3,170,2,low,M,2,5607,0
485,B,Ship,7,2,277,5,low,F,1,1700,1
486,C,Ship,6,5,244,4,low,M,9,1789,1
487,D,Flight,3,2,168,4,low,F,1,4184,1
488,F,Ship,5,4,242,5,low,M,1,1571,1
489,F,Ship,4,4,194,4,low,F,10,5024,0
490,A,Ship,5,4,271,3,low,M,3,5218,1
491,F,Road,4,1,225,2,low,M,4,4102,0
492,F,Road,4,3,230,3,high,F,1,5114,1
493,C,Ship,5,4,242,5,low,F,4,1155,0
494,B,Ship,2,5,211,3,low,M,3,1368,0
495,F,Flight,4,4,258,2,medium,F,5,4363,1
496,A,Road,4,5,182,3,medium,F,2,4473,0
497,D,Ship,5,5,165,4,medium,F,3,4242,0
498,D,Ship,4,5,162,2,medium,M,64,1918,1
499,B,Ship,5,1,256,4,medium,F,5,4970,1
500,B,Ship,5,3,184,4,medium,F,2,3798,1
501,B,Road,3,2,238,2,medium,F,32,3274,1
502,C,Ship,4,1,177,3,medium,F,5,4382,0
503,D,Road,4,4,186,2,low,F,1,4519,0
504,F,Road,4,2,229,2,medium,F,7,4855,1
505,C,Ship,5,2,209,4,medium,F,12,2933,1
506,D,Road,3,2,204,2,medium,F,35,2090,1
